Date,High,Low,Open,Close,Volume,Adj Close
1995-11-17,8.71875,8.09375,8.125,8.625,35659200.0,5.573715686798096
1995-11-20,8.8125,8.1875,8.59375,8.3125,8434000.0,5.371770858764648
1995-11-21,8.28125,7.9375,8.25,8.15625,6440000.0,5.270799160003662
1995-11-22,8.53125,8.125,8.125,8.40625,3480800.0,5.43235445022583
1995-11-24,8.71875,8.4375,8.46875,8.71875,1279200.0,5.634300708770752
1995-11-27,8.90625,8.625,8.71875,8.75,2403200.0,5.654496669769287
1995-11-28,8.78125,8.5,8.75,8.625,1054800.0,5.573715686798096
1995-11-29,8.96875,8.5625,8.59375,8.75,1331200.0,5.654496669769287
1995-11-30,9.1875,8.8125,8.84375,9.09375,2426000.0,5.876637935638428
1995-12-01,9.125,8.9375,9.09375,9.0,978400.0,5.816053867340088
1995-12-04,9.09375,8.84375,9.03125,8.90625,594000.0,5.755469799041748
1995-12-05,8.90625,8.625,8.90625,8.78125,1148800.0,5.6746907234191895
1995-12-06,9.0,8.75,8.75,8.8125,1216000.0,5.694884777069092
1995-12-07,8.90625,8.6875,8.875,8.75,641200.0,5.654496669769287
1995-12-08,8.96875,8.625,8.71875,8.96875,668800.0,5.795859336853027
1995-12-11,9.09375,8.96875,9.0,9.09375,660000.0,5.876637935638428
1995-12-12,9.0625,8.71875,9.03125,8.75,971600.0,5.654496669769287
1995-12-13,8.8125,8.53125,8.8125,8.6875,528400.0,5.614105224609375
1995-12-14,8.71875,8.4375,8.71875,8.4375,639200.0,5.452550888061523
1995-12-15,8.5625,8.34375,8.5,8.375,1366400.0,5.412159442901611
1995-12-18,8.40625,8.25,8.375,8.28125,741600.0,5.35157585144043
1995-12-19,8.53125,8.21875,8.25,8.4375,643600.0,5.452550888061523
1995-12-20,8.6875,8.46875,8.46875,8.625,360400.0,5.573715686798096
1995-12-21,8.78125,8.5625,8.59375,8.6875,301600.0,5.614105224609375
1995-12-22,8.75,8.625,8.71875,8.75,208400.0,5.654496669769287
1995-12-26,8.71875,8.5,8.71875,8.53125,240000.0,5.5131330490112305
1995-12-27,8.84375,8.625,8.625,8.84375,351600.0,5.715080261230469
1995-12-28,8.90625,8.78125,8.875,8.8125,344400.0,5.694884777069092
1995-12-29,8.84375,8.65625,8.78125,8.71875,219200.0,5.634300708770752
1996-01-02,8.78125,8.65625,8.71875,8.75,169200.0,5.654496669769287
1996-01-03,8.9375,8.65625,8.78125,8.71875,682000.0,5.634300708770752
1996-01-04,8.8125,8.53125,8.75,8.65625,414800.0,5.593910217285156
1996-01-05,8.59375,8.28125,8.53125,8.4375,773600.0,5.452550888061523
1996-01-08,8.46875,8.375,8.4375,8.46875,48800.0,5.472745895385742
1996-01-09,8.5,8.375,8.5,8.375,864000.0,5.412159442901611
1996-01-10,8.375,8.125,8.28125,8.28125,458400.0,5.35157585144043
1996-01-11,8.5625,8.3125,8.3125,8.46875,477600.0,5.472745895385742
1996-01-12,8.6875,8.40625,8.4375,8.6875,338400.0,5.614105224609375
1996-01-15,8.75,8.625,8.6875,8.65625,580800.0,5.593910217285156
1996-01-16,8.59375,8.21875,8.59375,8.4375,512800.0,5.452550888061523
1996-01-17,8.375,8.125,8.3125,8.375,126400.0,5.412159442901611
1996-01-18,8.34375,8.03125,8.28125,8.15625,696000.0,5.270799160003662
1996-01-19,8.1875,8.0625,8.15625,8.09375,792800.0,5.230408668518066
1996-01-22,8.46875,8.09375,8.09375,8.3125,568800.0,5.371770858764648
1996-01-23,8.28125,8.15625,8.25,8.15625,798400.0,5.270799160003662
1996-01-24,8.28125,8.125,8.125,8.28125,776400.0,5.35157585144043
1996-01-25,8.5625,8.25,8.25,8.5625,1303200.0,5.533327102661133
1996-01-26,8.59375,8.5,8.5625,8.5625,634800.0,5.533327102661133
1996-01-29,8.59375,8.375,8.59375,8.4375,652000.0,5.452550888061523
1996-01-30,9.40625,8.375,8.4375,9.25,2810800.0,5.977607727050781
1996-01-31,9.53125,9.125,9.1875,9.21875,1136400.0,5.957416534423828
1996-02-01,9.21875,8.84375,9.1875,9.03125,516800.0,5.836246490478516
1996-02-02,9.3125,9.09375,9.09375,9.25,702400.0,5.977607727050781
1996-02-05,9.46875,9.25,9.3125,9.40625,756400.0,6.078583717346191
1996-02-06,9.5625,9.375,9.40625,9.46875,455200.0,6.118971824645996
1996-02-07,9.84375,9.5,9.53125,9.78125,650800.0,6.320919990539551
1996-02-08,9.8125,9.53125,9.75,9.5625,571600.0,6.1795549392700195
1996-02-09,9.625,9.46875,9.625,9.59375,520800.0,6.199751377105713
1996-02-12,9.5625,9.25,9.53125,9.34375,619200.0,6.0381951332092285
1996-02-13,9.28125,9.125,9.25,9.1875,204400.0,5.937219142913818
1996-02-14,9.4375,9.15625,9.21875,9.15625,410000.0,5.917026996612549
1996-02-15,9.4375,9.28125,9.28125,9.34375,348800.0,6.0381951332092285
1996-02-16,9.34375,9.15625,9.34375,9.1875,322400.0,5.937219142913818
1996-02-20,9.1875,8.9375,9.0625,9.0625,633200.0,5.856444835662842
1996-02-21,9.21875,9.09375,9.09375,9.125,497600.0,5.8968305587768555
1996-02-22,9.125,8.78125,9.125,9.09375,1184000.0,5.876637935638428
1996-02-23,9.34375,9.09375,9.125,9.3125,532400.0,6.01800012588501
1996-02-26,9.34375,9.1875,9.3125,9.25,359600.0,5.977607727050781
1996-02-27,9.375,9.125,9.3125,9.15625,1742400.0,5.917026996612549
1996-02-28,9.25,9.1875,9.1875,9.21875,921600.0,5.957416534423828
1996-02-29,9.375,9.125,9.21875,9.15625,812400.0,5.917026996612549
1996-03-01,9.53125,9.21875,9.28125,9.46875,605600.0,6.118971824645996
1996-03-04,9.5,9.3125,9.5,9.375,650800.0,6.05838680267334
1996-03-05,9.46875,9.28125,9.3125,9.40625,511200.0,6.078583717346191
1996-03-06,9.46875,9.3125,9.4375,9.3125,445600.0,6.01800012588501
1996-03-07,9.34375,9.203125,9.28125,9.21875,547600.0,5.957416534423828
1996-03-08,9.21875,8.84375,9.0625,9.0,625200.0,5.816053867340088
1996-03-11,9.0,8.84375,9.0,8.875,217200.0,5.7352752685546875
1996-03-12,8.90625,8.40625,8.90625,8.65625,598000.0,5.593910217285156
1996-03-13,8.9375,8.59375,8.6875,8.90625,335600.0,5.809154987335205
1996-03-14,8.96875,8.84375,8.90625,8.90625,273600.0,5.809154987335205
1996-03-15,8.96875,8.625,8.96875,8.71875,371600.0,5.6868577003479
1996-03-18,8.96875,8.75,8.75,8.96875,257600.0,5.849921226501465
1996-03-19,8.96875,8.75,8.96875,8.90625,276800.0,5.809154987335205
1996-03-20,8.90625,8.65625,8.875,8.71875,236400.0,5.6868577003479
1996-03-21,8.71875,8.59375,8.71875,8.65625,520000.0,5.646092414855957
1996-03-22,8.65625,8.59375,8.65625,8.65625,198000.0,5.646092414855957
