Date,High,Low,Open,Close,Volume,Adj Close
1997-08-15,25.375,24.625,25.0,25.0,6245900.0,11.561615943908691
1997-08-18,25.25,23.75,24.875,24.875,687700.0,11.503808975219727
1997-08-19,24.8125,24.3125,24.75,24.375,205500.0,11.27258014678955
1997-08-20,24.25,23.625,24.25,23.75,264700.0,10.983541488647461
1997-08-21,24.0,23.0,23.875,23.0625,302400.0,10.665594100952148
1997-08-22,23.5,22.5,22.625,23.5,363700.0,10.867919921875
1997-08-25,23.5,23.0,23.5,23.5,176400.0,10.867919921875
1997-08-26,23.9375,23.5,23.5625,23.625,293400.0,10.92573356628418
1997-08-27,23.75,23.5,23.75,23.5,31200.0,10.867919921875
1997-08-28,23.6875,23.5,23.5,23.6875,87000.0,10.954630851745605
1997-08-29,24.0,23.5625,23.6875,23.875,139000.0,11.041345596313477
1997-09-02,24.375,23.8125,23.8125,24.375,134700.0,11.27258014678955
1997-09-03,24.375,24.125,24.3125,24.3125,144600.0,11.243668556213379
1997-09-04,24.5,24.125,24.125,24.5,76500.0,11.330387115478516
1997-09-05,24.5,24.125,24.4375,24.375,65100.0,11.27258014678955
1997-09-08,24.25,24.1875,24.1875,24.25,108800.0,11.21476936340332
1997-09-09,24.75,24.1875,24.1875,24.5,169500.0,11.330387115478516
1997-09-10,24.75,24.25,24.375,24.6875,112600.0,11.417098045349121
1997-09-11,24.625,24.25,24.625,24.3125,69400.0,11.243668556213379
1997-09-12,24.5625,24.3125,24.3125,24.3125,74500.0,11.243668556213379
1997-09-15,24.5,23.75,24.25,24.0,180500.0,11.099153518676758
1997-09-16,25.5,24.25,24.375,25.25,182600.0,11.677237510681152
1997-09-17,25.5,24.5625,25.5,24.75,97600.0,11.445999145507812
1997-09-18,25.1875,24.6875,24.875,25.125,49700.0,11.619422912597656
1997-09-19,25.125,24.75,24.875,25.0625,95500.0,11.590519905090332
1997-09-22,25.375,25.25,25.375,25.25,85600.0,11.677237510681152
1997-09-23,25.5,24.9375,25.25,24.9375,95600.0,11.532719612121582
1997-09-24,25.0625,24.75,25.0,24.8125,41000.0,11.474908828735352
1997-09-25,25.25,24.875,24.875,25.25,66900.0,11.677237510681152
1997-09-26,25.5625,25.125,25.125,25.5,164600.0,11.792850494384766
1997-09-29,25.875,25.5625,25.625,25.6875,60200.0,11.87956428527832
1997-09-30,25.875,25.5,25.5625,25.875,126900.0,11.96627426147461
1997-10-01,26.1875,25.875,25.875,25.875,63500.0,11.96627426147461
1997-10-02,26.75,26.0,26.0,26.375,126900.0,12.197507858276367
1997-10-03,27.0,26.5625,26.75,26.9375,62400.0,12.45764446258545
1997-10-06,26.9375,26.375,26.9375,26.375,145400.0,12.197507858276367
1997-10-07,26.25,25.25,26.25,26.125,170200.0,12.081896781921387
1997-10-08,26.5,26.125,26.25,26.25,76100.0,12.139700889587402
1997-10-09,26.375,26.0,26.125,26.0,141200.0,12.024080276489258
1997-10-10,26.125,25.8125,26.0,25.8125,34100.0,11.937376976013184
1997-10-13,26.1875,25.75,26.1875,25.875,48000.0,11.96627426147461
1997-10-14,26.25,25.875,26.0,26.0625,22000.0,12.05298900604248
1997-10-15,26.0625,25.875,26.0625,25.9375,7200.0,11.995183944702148
1997-10-16,26.125,25.75,25.9375,25.75,52200.0,11.908467292785645
1997-10-17,26.0,25.375,25.75,25.5,67600.0,11.792850494384766
1997-10-20,25.5,25.3125,25.5,25.375,90900.0,11.735039710998535
1997-10-21,26.375,25.375,25.375,26.375,77700.0,12.197507858276367
1997-10-22,26.875,26.0,26.375,26.0,185800.0,12.024080276489258
1997-10-23,25.75,25.0625,25.625,25.625,47300.0,11.850653648376465
1997-10-24,25.8125,25.625,25.75,25.625,171800.0,11.850653648376465
1997-10-27,25.75,23.6875,25.75,23.6875,48800.0,10.954630851745605
1997-10-28,25.6875,22.75,23.625,25.6875,96700.0,11.87956428527832
1997-10-29,25.625,25.125,25.625,25.1875,96200.0,11.64832878112793
1997-10-30,25.1875,25.0,25.0,25.0,8500.0,11.561615943908691
1997-10-31,25.125,24.75,24.9375,25.0625,38400.0,11.590519905090332
1997-11-03,25.25,24.875,25.25,24.875,54400.0,11.503808975219727
1997-11-04,24.8125,24.0,24.8125,24.4375,65800.0,11.301486015319824
1997-11-05,25.0625,24.3125,24.4375,24.6875,47900.0,11.417098045349121
1997-11-06,24.9375,24.375,24.8125,24.375,29700.0,11.27258014678955
1997-11-07,24.375,24.0,24.375,24.25,37300.0,11.21476936340332
1997-11-10,24.9375,24.1875,24.3125,24.875,13600.0,11.503808975219727
1997-11-11,25.3125,24.875,24.875,25.125,33800.0,11.619422912597656
1997-11-12,25.6875,25.0,25.25,25.625,46000.0,11.850653648376465
1997-11-13,25.3125,25.1875,25.25,25.1875,143600.0,11.721517562866211
1997-11-14,25.375,25.1875,25.1875,25.3125,37700.0,11.779691696166992
1997-11-17,25.3125,25.25,25.3125,25.25,4900.0,11.750608444213867
1997-11-18,25.75,25.625,25.75,25.75,21100.0,11.98328971862793
1997-11-19,26.0,25.625,25.875,25.8125,95300.0,12.012378692626953
1997-11-20,26.0,25.875,25.875,26.0,34900.0,12.099630355834961
1997-11-21,26.125,25.875,26.0,26.0,52200.0,12.099630355834961
1997-11-24,25.9375,25.5,25.875,25.5,14300.0,11.86694622039795
1997-11-25,25.875,25.25,25.375,25.6875,43200.0,11.954204559326172
1997-11-26,26.0,25.625,25.6875,25.75,166600.0,11.98328971862793
1997-11-28,26.0,25.6875,25.6875,26.0,23300.0,12.099630355834961
1997-12-01,26.125,26.0,26.0,26.0,84800.0,12.099630355834961
1997-12-02,26.375,26.0,26.0,26.125,42200.0,12.157807350158691
1997-12-03,26.25,25.6875,26.125,25.6875,19300.0,11.954204559326172
1997-12-04,25.875,25.375,25.6875,25.75,25200.0,11.98328971862793
1997-12-05,26.0,25.625,25.625,26.0,21000.0,12.099630355834961
1997-12-08,26.25,25.75,26.0,25.75,124800.0,11.98328971862793
1997-12-09,26.0,25.8125,25.875,26.0,17400.0,12.099630355834961
1997-12-10,26.0,25.875,26.0,25.875,14700.0,12.041459083557129
1997-12-11,25.9375,25.8125,25.9375,25.875,10800.0,12.041459083557129
1997-12-12,25.9375,25.625,25.9375,25.6875,20300.0,11.954204559326172
1997-12-15,26.0,25.75,25.75,26.0,123000.0,12.099630355834961
1997-12-16,26.5,26.125,26.125,26.5,27000.0,12.332320213317871
1997-12-17,26.625,26.25,26.5,26.625,187700.0,12.39048957824707
1997-12-18,26.75,26.4375,26.5,26.5,12800.0,12.332320213317871
1997-12-19,26.5,26.125,26.5,26.1875,86700.0,12.186890602111816
1997-12-22,26.25,26.125,26.1875,26.125,30600.0,12.157807350158691
