Date,High,Low,Open,Close,Volume,Adj Close
1980-03-17,3.03125,2.6875,2.6875,2.6875,208800.0,0.2877570688724518
1980-03-18,2.6875,2.609375,2.6875,2.6875,308000.0,0.2877570688724518
1980-03-19,2.78125,2.703125,2.703125,2.71875,1064000.0,0.2911030054092407
1980-03-20,2.75,2.671875,2.71875,2.75,370400.0,0.2944490909576416
1980-03-21,2.859375,2.75,2.75,2.75,256800.0,0.2944490909576416
1980-03-24,2.75,2.71875,2.75,2.75,242400.0,0.2944490909576416
1980-03-25,2.84375,2.75,2.75,2.84375,43200.0,0.3044871687889099
1980-03-26,2.921875,2.859375,2.859375,2.921875,59200.0,0.31285223364830017
1980-03-27,3.0,2.890625,2.921875,2.953125,420000.0,0.31619828939437866
1980-03-28,3.109375,2.96875,2.96875,3.109375,71200.0,0.33292847871780396
1980-03-31,3.15625,3.0625,3.109375,3.15625,526400.0,0.33794721961021423
1980-04-01,3.140625,3.109375,3.140625,3.109375,50400.0,0.33292847871780396
1980-04-02,3.109375,2.984375,3.109375,2.984375,55200.0,0.31954425573349
1980-04-03,2.984375,2.890625,2.984375,2.890625,353600.0,0.30950626730918884
1980-04-07,2.90625,2.859375,2.890625,2.859375,494400.0,0.3061601221561432
1980-04-08,2.859375,2.765625,2.859375,2.78125,148800.0,0.29779529571533203
1980-04-09,2.875,2.796875,2.796875,2.828125,127200.0,0.30281421542167664
1980-04-10,2.875,2.828125,2.828125,2.828125,49600.0,0.30281421542167664
1980-04-11,2.9375,2.8125,2.828125,2.875,156000.0,0.30783310532569885
1980-04-14,2.890625,2.84375,2.875,2.859375,64800.0,0.3061601221561432
1980-04-15,2.859375,2.8125,2.859375,2.828125,106400.0,0.30281421542167664
1980-04-16,2.875,2.828125,2.828125,2.828125,96000.0,0.30281421542167664
1980-04-17,2.859375,2.796875,2.828125,2.796875,124000.0,0.29946818947792053
1980-04-18,2.84375,2.8125,2.8125,2.8125,27200.0,0.3011411726474762
1980-04-21,2.859375,2.78125,2.8125,2.78125,190400.0,0.29779529571533203
1980-04-22,2.8125,2.6875,2.78125,2.75,306400.0,0.2944490909576416
1980-04-23,2.78125,2.6875,2.75,2.6875,352000.0,0.2877570688724518
1980-04-24,2.703125,2.625,2.6875,2.625,148800.0,0.2810652256011963
1980-04-25,2.734375,2.578125,2.625,2.734375,138400.0,0.2927761375904083
1980-04-28,2.84375,2.78125,2.78125,2.8125,120000.0,0.3011411726474762
1980-04-29,2.921875,2.8125,2.8125,2.875,620000.0,0.30783310532569885
1980-04-30,2.9375,2.828125,2.875,2.875,208000.0,0.30783310532569885
1980-05-01,2.875,2.828125,2.875,2.828125,70400.0,0.30281421542167664
1980-05-02,2.84375,2.796875,2.828125,2.828125,105600.0,0.30281421542167664
1980-05-05,2.84375,2.765625,2.828125,2.8125,105600.0,0.3011411726474762
1980-05-06,2.859375,2.84375,2.84375,2.84375,110400.0,0.3044871687889099
1980-05-07,2.9375,2.875,2.875,2.90625,78400.0,0.3111792206764221
1980-05-08,2.984375,2.90625,2.90625,2.953125,174400.0,0.31619828939437866
1980-05-09,2.984375,2.90625,2.953125,2.90625,503200.0,0.3111792206764221
1980-05-12,2.9375,2.859375,2.90625,2.890625,58400.0,0.30950626730918884
1980-05-13,2.859375,2.796875,2.859375,2.84375,51200.0,0.3044871687889099
1980-05-14,2.90625,2.84375,2.84375,2.890625,404000.0,0.30950626730918884
1980-05-15,2.953125,2.875,2.890625,2.890625,118400.0,0.30950626730918884
1980-05-16,2.90625,2.875,2.890625,2.875,98400.0,0.30783310532569885
1980-05-19,2.984375,2.90625,2.90625,2.921875,68800.0,0.31285223364830017
1980-05-20,3.0,2.953125,2.953125,2.953125,200800.0,0.31619828939437866
1980-05-21,2.984375,2.9375,2.953125,2.9375,56000.0,0.3145253360271454
1980-05-22,2.984375,2.9375,2.9375,2.984375,160000.0,0.31954425573349
1980-05-23,2.984375,2.90625,2.984375,2.90625,43200.0,0.3111792206764221
1980-05-27,3.09375,2.9375,2.9375,3.09375,134400.0,0.33125540614128113
1980-05-28,3.109375,3.0625,3.09375,3.109375,216000.0,0.33292847871780396
1980-05-29,3.140625,3.0,3.109375,3.0,313600.0,0.3212173283100128
1980-05-30,3.125,3.015625,3.015625,3.0625,224800.0,0.3279092609882355
1980-06-02,3.078125,3.03125,3.0625,3.078125,352800.0,0.3295823037624359
1980-06-03,3.109375,3.015625,3.078125,3.078125,219200.0,0.3295823037624359
1980-06-04,3.09375,3.015625,3.078125,3.078125,111200.0,0.3295823037624359
1980-06-05,3.15625,3.09375,3.09375,3.09375,253600.0,0.33125540614128113
1980-06-06,3.09375,3.015625,3.09375,3.03125,299200.0,0.3245633542537689
1980-06-09,2.96875,2.90625,2.96875,2.953125,144000.0,0.31619828939437866
1980-06-10,2.953125,2.890625,2.953125,2.890625,114400.0,0.30950626730918884
1980-06-11,2.921875,2.875,2.890625,2.875,535200.0,0.30783310532569885
1980-06-12,3.0,2.84375,2.875,3.0,620000.0,0.3212173283100128
1980-06-13,3.046875,2.984375,3.0,3.015625,96000.0,0.3228902220726013
1980-06-16,3.109375,3.046875,3.046875,3.09375,199200.0,0.33125540614128113
1980-06-17,3.109375,3.03125,3.09375,3.03125,70400.0,0.3245633542537689
1980-06-18,3.046875,2.984375,3.03125,3.015625,75200.0,0.3228902220726013
1980-06-19,3.03125,2.9375,3.015625,2.9375,131200.0,0.3145253360271454
1980-06-20,3.015625,2.90625,2.9375,2.96875,580800.0,0.3178712725639343
1980-06-23,3.03125,2.96875,2.96875,2.984375,59200.0,0.31954425573349
1980-06-24,3.046875,2.984375,2.984375,3.0,144800.0,0.3212173283100128
1980-06-25,3.0625,3.03125,3.03125,3.0625,96000.0,0.3279092609882355
1980-06-26,3.109375,3.0625,3.0625,3.078125,96800.0,0.3295823037624359
1980-06-27,3.140625,3.09375,3.09375,3.109375,180800.0,0.33292847871780396
1980-06-30,3.125,3.078125,3.109375,3.109375,225600.0,0.33292847871780396
1980-07-01,3.109375,3.0625,3.109375,3.078125,231200.0,0.3295823037624359
1980-07-02,3.125,3.0625,3.078125,3.09375,100000.0,0.33125540614128113
1980-07-03,3.171875,3.109375,3.109375,3.171875,236800.0,0.3396202027797699
1980-07-07,3.203125,3.140625,3.171875,3.1875,161600.0,0.3412931561470032
1980-07-08,3.265625,3.203125,3.203125,3.25,224800.0,0.3479854166507721
1980-07-09,3.484375,3.234375,3.25,3.40625,374400.0,0.36471548676490784
1980-07-10,3.390625,3.3125,3.390625,3.3125,198400.0,0.3546774089336395
1980-07-11,3.359375,3.28125,3.3125,3.359375,192800.0,0.3596963882446289
1980-07-14,3.515625,3.328125,3.359375,3.5,194400.0,0.3747533857822418
1980-07-15,3.5,3.390625,3.5,3.4375,512800.0,0.3680613934993744
1980-07-16,3.453125,3.375,3.4375,3.40625,268800.0,0.36471548676490784
1980-07-17,3.46875,3.40625,3.40625,3.46875,167200.0,0.3714073598384857
1980-07-18,3.484375,3.4375,3.46875,3.46875,186400.0,0.3714073598384857
1980-07-21,3.46875,3.421875,3.46875,3.453125,238400.0,0.3697344660758972
1980-07-22,3.453125,3.34375,3.453125,3.359375,167200.0,0.3596963882446289
1980-07-23,3.375,3.25,3.359375,3.25,77600.0,0.3479854166507721
1980-07-24,3.3125,3.25,3.25,3.28125,182400.0,0.3513313829898834
1980-07-25,3.3125,3.265625,3.28125,3.3125,114400.0,0.3546774089336395
1980-07-28,3.375,3.28125,3.3125,3.34375,505600.0,0.35802364349365234
1980-07-29,3.375,3.34375,3.34375,3.34375,249600.0,0.35802364349365234
1980-07-30,3.421875,3.375,3.375,3.421875,326400.0,0.3663884699344635
1980-07-31,3.421875,3.390625,3.421875,3.390625,63200.0,0.3630423843860626
1980-08-01,3.5,3.375,3.390625,3.5,777600.0,0.3747533857822418
1980-08-04,3.6875,3.484375,3.5,3.6875,278400.0,0.39482954144477844
1980-08-05,3.671875,3.625,3.671875,3.625,386400.0,0.3881373703479767
1980-08-06,3.640625,3.609375,3.625,3.609375,584800.0,0.38646456599235535
1980-08-07,3.625,3.5625,3.609375,3.5625,702400.0,0.3814454972743988
1980-08-08,3.625,3.484375,3.5625,3.484375,276800.0,0.37308064103126526
1980-08-11,3.546875,3.453125,3.484375,3.484375,103200.0,0.37308064103126526
1980-08-12,3.546875,3.453125,3.484375,3.515625,635200.0,0.3764265179634094
1980-08-13,3.578125,3.515625,3.515625,3.53125,122400.0,0.378099650144577
1980-08-14,3.515625,3.484375,3.515625,3.484375,270400.0,0.37308064103126526
1980-08-15,3.5,3.46875,3.484375,3.46875,47200.0,0.3714073598384857
1980-08-18,3.5,3.453125,3.46875,3.453125,119200.0,0.3697344660758972
1980-08-19,3.546875,3.453125,3.453125,3.515625,797600.0,0.3764265179634094
1980-08-20,3.578125,3.53125,3.53125,3.5625,201600.0,0.3814454972743988
1980-08-21,3.578125,3.515625,3.5625,3.53125,536000.0,0.378099650144577
1980-08-22,3.578125,3.515625,3.53125,3.515625,196000.0,0.3764265179634094
1980-08-25,3.53125,3.484375,3.515625,3.515625,246400.0,0.3764265179634094
1980-08-26,3.5625,3.5,3.515625,3.515625,927200.0,0.3764265179634094
1980-08-27,3.546875,3.453125,3.515625,3.46875,123200.0,0.3714073598384857
1980-08-28,3.46875,3.328125,3.46875,3.328125,76800.0,0.3563503623008728
1980-08-29,3.359375,3.234375,3.328125,3.3125,99200.0,0.3546774089336395
1980-09-02,3.34375,3.296875,3.3125,3.296875,260800.0,0.3530043363571167
1980-09-03,3.421875,3.265625,3.296875,3.421875,348000.0,0.3663884699344635
1980-09-04,3.46875,3.40625,3.421875,3.421875,194400.0,0.3663884699344635
1980-09-05,3.4375,3.375,3.421875,3.390625,164000.0,0.3630423843860626
1980-09-08,3.40625,3.328125,3.390625,3.328125,58400.0,0.3563503623008728
1980-09-09,3.28125,3.21875,3.28125,3.25,120800.0,0.3479854166507721
1980-09-10,3.296875,3.25,3.25,3.25,321600.0,0.3479854166507721
1980-09-11,3.265625,3.234375,3.25,3.234375,649600.0,0.3463125228881836
1980-09-12,3.296875,3.265625,3.265625,3.28125,673600.0,0.3513313829898834
1980-09-15,3.25,3.1875,3.25,3.203125,428000.0,0.3429661691188812
1980-09-16,3.28125,3.171875,3.203125,3.28125,373600.0,0.3513313829898834
1980-09-17,3.421875,3.28125,3.28125,3.421875,142400.0,0.3663884699344635
1980-09-18,3.453125,3.34375,3.421875,3.421875,439200.0,0.3663884699344635
