Date,High,Low,Open,Close,Volume,Adj Close
1980-03-17,2.4375,2.1875,2.1875,2.1875,66400.0,1.7897067070007324
1980-03-18,2.4375,2.1875,2.1875,2.1875,74400.0,1.7897067070007324
1980-03-19,2.375,2.125,2.1875,2.125,34200.0,1.7385727167129517
1980-03-20,2.4375,2.1875,2.1875,2.1875,35200.0,1.7897067070007324
1980-03-21,2.375,2.125,2.1875,2.125,22600.0,1.7385727167129517
1980-03-24,2.25,2.0,2.125,2.0,53000.0,1.6363035440444946
1980-03-25,2.1875,1.9375,2.0,1.9375,83000.0,1.5851688385009766
1980-03-26,2.1875,1.9375,1.9375,1.9375,22800.0,1.5851688385009766
1980-03-27,2.0,1.75,1.9375,1.75,99000.0,1.4317655563354492
1980-03-28,2.1875,1.9375,1.9375,1.9375,50000.0,1.5851688385009766
1980-03-31,2.1875,1.9375,1.9375,1.9375,30800.0,1.5851688385009766
1980-04-01,2.125,1.875,1.9375,1.875,14600.0,1.5340347290039062
1980-04-02,2.125,1.875,1.875,1.875,19600.0,1.5340347290039062
1980-04-03,2.25,2.0,2.0,2.0,24800.0,1.6363035440444946
1980-04-07,2.1875,1.9375,2.0,1.9375,21800.0,1.5851688385009766
1980-04-08,2.125,1.875,1.9375,1.875,14000.0,1.5340347290039062
1980-04-09,2.1875,1.9375,1.9375,1.9375,27800.0,1.5851688385009766
1980-04-10,2.25,2.0,2.0,2.0,29200.0,1.6363035440444946
1980-04-11,2.1875,1.9375,2.0,1.9375,106600.0,1.5851688385009766
1980-04-14,2.1875,1.9375,1.9375,1.9375,20200.0,1.5851688385009766
1980-04-15,2.1875,1.9375,1.9375,1.9375,14800.0,1.5851688385009766
1980-04-16,2.125,1.875,1.9375,1.875,75600.0,1.5340347290039062
1980-04-17,2.0625,1.8125,1.875,1.8125,198600.0,1.4829002618789673
1980-04-18,2.125,1.875,1.875,1.875,48600.0,1.5340347290039062
1980-04-21,2.0,1.75,1.875,1.75,42400.0,1.4317655563354492
1980-04-22,2.0625,1.8125,1.8125,1.8125,19200.0,1.4829002618789673
1980-04-23,2.0625,1.8125,1.8125,1.8125,9000.0,1.4829002618789673
1980-04-24,2.0625,1.8125,1.8125,1.8125,30200.0,1.4829002618789673
1980-04-25,2.0625,1.8125,1.8125,1.8125,10200.0,1.4829002618789673
1980-04-28,2.125,1.875,1.875,1.875,23200.0,1.5340347290039062
1980-04-29,2.125,1.875,1.875,1.875,36000.0,1.5340347290039062
1980-04-30,2.125,1.875,1.875,1.875,58600.0,1.5340347290039062
1980-05-01,2.125,1.875,1.875,1.875,15200.0,1.5340347290039062
1980-05-02,2.125,1.875,1.875,1.875,11200.0,1.5340347290039062
1980-05-05,2.1875,1.9375,1.9375,1.9375,47600.0,1.5851688385009766
1980-05-06,2.0625,1.8125,1.9375,1.8125,29200.0,1.4829002618789673
1980-05-07,2.0625,1.8125,1.8125,1.8125,25400.0,1.4829002618789673
1980-05-08,2.0625,1.8125,1.8125,1.8125,9200.0,1.4829002618789673
1980-05-09,2.0,1.75,1.8125,1.75,18800.0,1.4317655563354492
1980-05-12,2.0,1.75,1.75,1.75,21400.0,1.4317655563354492
1980-05-13,2.0,1.75,1.75,1.75,14400.0,1.4317655563354492
1980-05-14,2.0,1.75,1.75,1.75,12000.0,1.4317655563354492
1980-05-15,2.0625,1.8125,1.8125,1.8125,16600.0,1.4829002618789673
1980-05-16,2.125,1.875,1.875,1.875,48000.0,1.5340347290039062
1980-05-19,2.25,2.0,2.0,2.0,104600.0,1.6363035440444946
1980-05-20,2.25,2.0,2.0,2.0,91600.0,1.6363035440444946
1980-05-21,2.1875,1.9375,2.0,1.9375,42600.0,1.5851688385009766
1980-05-22,2.375,2.125,2.125,2.125,75400.0,1.7385727167129517
1980-05-23,2.4375,2.1875,2.1875,2.1875,31400.0,1.7897067070007324
1980-05-27,2.4375,2.1875,2.1875,2.1875,37600.0,1.7897067070007324
1980-05-28,2.5625,2.3125,2.3125,2.3125,69600.0,1.8919763565063477
1980-05-29,2.5,2.25,2.3125,2.25,127800.0,1.8408414125442505
1980-05-30,2.4375,2.1875,2.25,2.1875,31400.0,1.7897067070007324
1980-06-02,2.4375,2.1875,2.1875,2.1875,24400.0,1.7897067070007324
1980-06-03,2.375,2.125,2.1875,2.125,60400.0,1.7385727167129517
1980-06-04,2.3125,2.0625,2.125,2.0625,28000.0,1.687437653541565
1980-06-05,2.3125,2.0625,2.0625,2.0625,18400.0,1.687437653541565
1980-06-06,2.3125,2.0625,2.0625,2.0625,46600.0,1.687437653541565
1980-06-09,2.25,2.0,2.0625,2.0,23200.0,1.6363035440444946
1980-06-10,2.25,2.0,2.0,2.0,35800.0,1.6363035440444946
1980-06-11,2.25,2.0,2.0,2.0,31000.0,1.6363035440444946
1980-06-12,2.3125,2.0625,2.0625,2.0625,22800.0,1.687437653541565
1980-06-13,2.25,2.0,2.0625,2.0,29800.0,1.6363035440444946
1980-06-16,2.25,2.0,2.0,2.0,19400.0,1.6363035440444946
1980-06-17,2.25,2.0,2.0,2.0,19800.0,1.6363035440444946
1980-06-18,2.1875,1.9375,2.0,1.9375,28800.0,1.5851688385009766
1980-06-19,2.1875,1.9375,1.9375,1.9375,46600.0,1.5851688385009766
1980-06-20,2.125,1.875,1.9375,1.875,5200.0,1.5340347290039062
1980-06-23,2.1875,1.9375,1.9375,1.9375,21200.0,1.5851688385009766
1980-06-24,2.125,1.875,1.9375,1.875,85800.0,1.5340347290039062
1980-06-25,2.25,2.0,2.0,2.0,172200.0,1.6363035440444946
1980-06-26,2.25,2.0,2.0,2.0,103000.0,1.6363035440444946
1980-06-27,2.375,2.125,2.125,2.125,20400.0,1.7385727167129517
1980-06-30,2.375,2.125,2.125,2.125,37400.0,1.7385727167129517
1980-07-01,2.25,2.0,2.125,2.0,59200.0,1.6363035440444946
1980-07-02,2.25,2.0,2.0,2.0,81400.0,1.6363035440444946
1980-07-03,2.4375,2.1875,2.1875,2.1875,108200.0,1.7897067070007324
1980-07-07,2.3125,2.25,2.25,2.25,102800.0,1.8408414125442505
1980-07-08,2.3125,2.1875,2.25,2.1875,47200.0,1.7897067070007324
1980-07-09,2.3125,2.25,2.25,2.25,70200.0,1.8408414125442505
1980-07-10,2.4375,2.375,2.375,2.375,365800.0,1.943110466003418
1980-07-11,2.625,2.5,2.5,2.5,294800.0,2.045379638671875
1980-07-14,2.75,2.625,2.625,2.625,311600.0,2.147648334503174
1980-07-15,2.6875,2.625,2.625,2.625,254200.0,2.147648334503174
1980-07-16,2.6875,2.625,2.625,2.625,433000.0,2.147648334503174
1980-07-17,2.75,2.6875,2.6875,2.6875,749400.0,2.1987831592559814
1980-07-18,2.875,2.8125,2.8125,2.8125,473800.0,2.301051616668701
1980-07-21,3.0625,2.9375,2.9375,2.9375,450400.0,2.4033210277557373
1980-07-22,3.0,2.9375,2.9375,2.9375,551200.0,2.4033210277557373
1980-07-23,3.0,2.9375,2.9375,2.9375,215400.0,2.4033210277557373
1980-07-24,2.8125,2.75,2.8125,2.75,132600.0,2.2499170303344727
1980-07-25,2.875,2.8125,2.8125,2.8125,89000.0,2.301051616668701
1980-07-28,3.0,2.8125,2.8125,2.8125,74400.0,2.301051616668701
1980-07-29,3.0,2.9375,2.9375,2.9375,74600.0,2.4033210277557373
1980-07-30,3.0625,3.0,3.0,3.0,114200.0,2.4544551372528076
1980-07-31,3.0,2.9375,3.0,2.9375,92000.0,2.4033210277557373
1980-08-01,3.0625,3.0,3.0,3.0,109000.0,2.4544551372528076
1980-08-04,3.0625,3.0,3.0,3.0,70200.0,2.4544551372528076
1980-08-05,3.1875,3.0625,3.0625,3.0625,118000.0,2.505589485168457
1980-08-06,3.3125,3.25,3.25,3.25,178800.0,2.6589930057525635
1980-08-07,3.4375,3.375,3.375,3.375,402600.0,2.7612619400024414
1980-08-08,3.75,3.625,3.625,3.625,309600.0,2.9658005237579346
1980-08-11,3.6875,3.625,3.625,3.625,377600.0,2.9658005237579346
1980-08-12,3.5,3.4375,3.5,3.4375,400000.0,2.812396764755249
1980-08-13,3.9375,3.8125,3.8125,3.8125,414200.0,3.119203567504883
1980-08-14,4.0,3.9375,3.9375,3.9375,390200.0,3.22147274017334
1980-08-15,4.0,3.9375,3.9375,3.9375,245600.0,3.22147274017334
1980-08-18,4.625,4.5625,4.5625,4.5625,1308000.0,3.7328169345855713
1980-08-19,4.3125,4.1875,4.3125,4.1875,845400.0,3.4260101318359375
1980-08-20,4.625,4.5,4.5,4.5,469200.0,3.681682825088501
1980-08-21,4.75,4.6875,4.6875,4.6875,317600.0,3.835085868835449
1980-08-22,4.8125,4.75,4.75,4.75,395000.0,3.886220932006836
1980-08-25,4.8125,4.75,4.75,4.75,434400.0,3.886220932006836
1980-08-26,4.875,4.8125,4.8125,4.8125,227800.0,3.937356472015381
1980-08-27,4.8125,4.75,4.8125,4.75,170800.0,3.886220932006836
1980-08-28,4.8125,4.75,4.75,4.75,182400.0,3.886220932006836
1980-08-29,4.8125,4.75,4.75,4.75,96000.0,3.886220932006836
1980-09-02,4.8125,4.75,4.75,4.75,70200.0,3.886220932006836
1980-09-03,4.9375,4.875,4.875,4.875,169000.0,3.988490104675293
1980-09-04,5.3125,5.25,5.25,5.25,401000.0,4.295296669006348
1980-09-05,5.5,5.4375,5.4375,5.4375,158200.0,4.448700428009033
1980-09-08,5.5625,5.5,5.5,5.5,267400.0,4.499834060668945
1980-09-09,5.5625,5.5,5.5,5.5,81800.0,4.499834060668945
1980-09-10,5.9375,5.875,5.875,5.875,209000.0,4.806642055511475
1980-09-11,6.1875,6.125,6.125,6.125,259600.0,5.011178970336914
1980-09-12,6.5,6.375,6.375,6.375,183200.0,5.215717792510986
1980-09-15,6.5,6.375,6.375,6.375,309800.0,5.215717792510986
1980-09-16,6.0625,6.0,6.0625,6.0,474000.0,4.908910274505615
1980-09-17,6.3125,6.25,6.25,6.25,704000.0,5.113448619842529
1980-09-18,6.5,6.4375,6.4375,6.4375,276800.0,5.266851425170898
1980-09-19,7.3125,7.1875,7.1875,7.1875,430800.0,5.880465507507324
1980-09-22,7.0,6.9375,7.0,6.9375,350800.0,5.675927639007568
1980-09-23,6.625,6.5,6.625,6.5,326800.0,5.317986011505127
1980-09-24,6.4375,6.375,6.4375,6.375,252600.0,5.215717792510986
1980-09-25,6.25,6.1875,6.25,6.1875,170800.0,5.062314033508301
1980-09-26,5.8125,5.75,5.8125,5.75,210600.0,4.704371929168701
1980-09-29,5.375,5.25,5.375,5.25,329400.0,4.295296669006348
